Name,SPDXID,Version,DownloadLocation,License
"@aws-sdk/checksums","SPDXRef-Package-aws-sdk.checksums-3.1000.29","3.1000.29","https://registry.npmjs.org/@aws-sdk/checksums/-/checksums-3.1000.29.tgz","Apache-2.0"
"@aws-sdk/client-cloudcontrol","SPDXRef-Package-aws-sdk.client-cloudcontrol-3.1117.0","3.1117.0","https://registry.npmjs.org/@aws-sdk/client-cloudcontrol/-/client-cloudcontrol-3.1117.0.tgz","Apache-2.0"
"@aws-sdk/client-cloudformation","SPDXRef-Package-aws-sdk.client-cloudformation-3.1117.0","3.1117.0","https://registry.npmjs.org/@aws-sdk/client-cloudformation/-/client-cloudformation-3.1117.0.tgz","Apache-2.0"
"@aws-sdk/client-controlcatalog","SPDXRef-Package-aws-sdk.client-controlcatalog-3.1117.0","3.1117.0","https://registry.npmjs.org/@aws-sdk/client-controlcatalog/-/client-controlcatalog-3.1117.0.tgz","Apache-2.0"
"@aws-sdk/client-iam","SPDXRef-Package-aws-sdk.client-iam-3.1117.0","3.1117.0","https://registry.npmjs.org/@aws-sdk/client-iam/-/client-iam-3.1117.0.tgz","Apache-2.0"
"@aws-sdk/client-s3","SPDXRef-Package-aws-sdk.client-s3-3.1117.0","3.1117.0","https://registry.npmjs.org/@aws-sdk/client-s3/-/client-s3-3.1117.0.tgz","Apache-2.0"
"@aws-sdk/client-sts","SPDXRef-Package-aws-sdk.client-sts-3.1117.0","3.1117.0","https://registry.npmjs.org/@aws-sdk/client-sts/-/client-sts-3.1117.0.tgz","Apache-2.0"
"@aws-sdk/core","SPDXRef-Package-aws-sdk.core-3.977.9","3.977.9","https://registry.npmjs.org/@aws-sdk/core/-/core-3.977.9.tgz","Apache-2.0"
"@aws-sdk/credential-provider-env","SPDXRef-Package-aws-sdk.credential-provider-env-3.972.70","3.972.70","https://registry.npmjs.org/@aws-sdk/credential-provider-env/-/credential-provider-env-3.972.70.tgz","Apache-2.0"
"@aws-sdk/credential-provider-http","SPDXRef-Package-aws-sdk.credential-provider-http-3.972.72","3.972.72","https://registry.npmjs.org/@aws-sdk/credential-provider-http/-/credential-provider-http-3.972.72.tgz","Apache-2.0"
